Hora/D燰,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0:00,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,
1:00,9,6,9,9,10,,,10,10,9,10,8,,2,5,5,6,7,5,,,7,9,7,14,8,1,,10,16
2:00,23,19,29,23,27,1,,27,32,29,18,28,,2,18,20,22,23,20,,,13,25,20,27,29,2,,34,27
3:00,30,25,34,29,37,1,,35,19,27,22,30,7,1,23,18,24,27,20,8,,8,22,21,24,33,4,,30,30
4:00,29,31,28,37,39,3,,28,24,26,22,23,9,3,18,23,18,24,27,7,,10,28,14,32,18,7,,23,24
5:00,24,18,33,25,38,3,,26,18,23,23,19,9,3,17,23,12,19,22,3,,9,29,17,26,23,5,,29,22
6:00,17,17,21,15,17,1,,12,14,4,9,6,8,,12,17,9,13,14,8,,8,20,10,14,20,4,,18,12
7:00,29,15,27,22,26,7,,18,29,24,22,21,13,,17,25,28,29,16,4,,21,32,17,31,29,10,2,28,29
8:00,272,35,290,233,252,28,2,291,217,224,227,265,12,17,216,231,197,244,185,143,7,31,289,247,204,56,125,13,290,280
9:00,286,154,342,280,301,26,6,328,262,246,255,251,13,26,288,242,218,213,201,177,7,,313,252,224,52,156,22,291,302
10:00,300,113,344,278,43,30,4,377,286,253,246,249,10,21,303,260,251,239,214,181,7,,313,288,253,54,155,18,297,304
11:00,249,,370,250,6,39,6,315,274,250,239,281,10,25,276,246,224,247,220,177,4,,308,246,275,45,167,9,351,281
12:00,233,,272,204,249,21,5,256,227,191,161,199,8,22,224,198,172,166,154,138,1,,259,179,175,34,116,18,264,219
13:00,146,,174,135,231,18,3,131,163,125,125,159,1,17,126,139,113,125,98,128,,,175,154,112,13,92,5,178,130
14:00,230,,213,188,229,8,,204,189,175,163,176,,,164,182,173,151,187,66,,42,202,176,165,3,78,2,185,199
15:00,232,,245,240,274,12,,262,214,213,173,230,,,239,189,183,164,189,78,,6,248,195,125,1,53,4,267,190
16:00,192,,225,158,252,7,,211,167,144,113,149,,,191,137,107,113,109,45,,3,194,136,80,,34,5,210,91
17:00,34,,13,8,31,,,20,7,6,5,9,1,,64,7,4,5,6,2,,13,15,1,3,,9,3,75,4
18:00,,,,1,6,,,,1,,2,2,,1,1,2,1,1,,,,10,2,,2,,4,2,1,
19:00,,,1,,6,,,2,,,1,1,2,,,1,,,,,,1,,,,1,2,,,
20:00,,,,,,,,,,,,1,1,1,,,,,,,,3,1,,,1,2,,1,
21:00,1,4,,1,,,1,,,,,1,1,1,,,,1,,,,,,,,1,,1,,
22:00,1,1,,,,,,,,,,,,1,,,,,,,,3,2,1,,2,,,,
23:00,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,
TOTAL,2337,438,2670,2136,2074,205,27,2553,2153,1969,1837,2108,105,143,2202,1965,1762,1811,1687,1165,26,190,2487,1981,1786,424,1026,104,2583,2160
